JD,DATE,FILT,RUN,ZP,ZP_ERR,T_MAG,T_MAG_ERR,FAIL,NREF,TGT_SNR,T_INST_MAG_ERR,BAD
2460223.614,Oct 05 2023,g',run1.0,25.16592016,0.110963339,14.67002524,0.120410436,0,15,23.22298622,0.046752654,FALSE
2460223.617,Oct 05 2023,g',run1.1,25.00371624,0.14384262,14.63321115,0.15289611,0,17,20.94735527,0.051831659,FALSE
2460223.619,Oct 05 2023,g',run1.2,24.84674788,0.110593568,14.644281,0.125983234,0,15,17.99383163,0.060339358,FALSE
2460223.622,Oct 05 2023,g',run1.3,24.76560756,0.126072318,14.66314871,0.142162614,0,18,16.52664185,0.065696113,FALSE
2460223.624,Oct 05 2023,g',run1.4,24.61880251,0.098137873,14.66485729,0.123598451,0,14,14.45013046,0.075136773,FALSE
2460223.627,Oct 05 2023,g',run1.5,24.4497033,0.117419662,14.66384702,0.146116358,0,15,12.48499489,0.086963288,FALSE
2460223.685,Oct 05 2023,g',run2.0,25.45913224,0.089796149,14.68316131,0.096680672,0,22,30.30225563,0.035830211,FALSE
2460223.687,Oct 05 2023,g',run2.1,25.23737349,0.092483151,14.64011343,0.101588642,0,26,25.82803726,0.042037115,FALSE
2460223.69,Oct 05 2023,g',run2.2,24.9856765,0.28197364,14.68387085,0.287204249,0,32,19.89867592,0.054563239,FALSE
2460223.692,Oct 05 2023,g',run2.3,24.57006247,0.119269324,14.69014391,0.143437447,0,35,13.62596416,0.079681426,FALSE
2460223.695,Oct 05 2023,g',run2.4,24.28000335,0.130304725,14.70413301,0.167081804,0,37,10.38185692,0.104580149,FALSE
2460223.697,Oct 05 2023,g',run2.5,24.09511544,0.121556838,14.6193572,0.167077396,0,40,9.472106934,0.114624567,FALSE
2460223.599,Oct 05 2023,i',run1.0,24.34309043,0.332512844,13.2824322,0.333702012,0,11,38.57408142,0.028146781,FALSE
2460223.602,Oct 05 2023,i',run1.1,24.31826088,0.405442205,13.2582952,0.406417379,0,10,38.58715439,0.028137244,FALSE
2460223.604,Oct 05 2023,i',run1.2,24.30794623,0.043129831,13.25162815,0.051507248,0,9,38.5601387,0.028156959,FALSE
2460223.607,Oct 05 2023,i',run1.3,24.3041836,0.339858526,13.25056258,0.341027917,0,11,38.47751617,0.02821742,FALSE
2460223.609,Oct 05 2023,i',run1.4,24.27527059,0.407489014,13.20470865,0.408432231,0,13,39.13761139,0.027741505,FALSE
2460223.612,Oct 05 2023,i',run1.5,24.25090251,0.402802012,13.26127954,0.403897222,0,13,36.52749634,0.029723806,FALSE
2460223.668,Oct 05 2023,i',run2.0,24.49361442,0.273565781,13.25265993,0.274576285,0,13,46.13269806,0.023535069,FALSE
2460223.671,Oct 05 2023,i',run2.1,24.49465848,0.260230491,13.26815012,0.261323833,0,13,45.46702957,0.023879638,FALSE
2460223.673,Oct 05 2023,i',run2.2,24.48019933,0.234221493,13.24173902,0.235424383,0,11,45.68000031,0.023768306,FALSE
2460223.676,Oct 05 2023,i',run2.3,24.50723895,0.224061266,13.26828597,0.225334749,0,11,45.38506699,0.023922764,FALSE
2460223.678,Oct 05 2023,i',run2.4,24.47304626,0.22498404,13.27237087,0.226339814,0,11,43.89212799,0.024736468,FALSE
2460223.68,Oct 05 2023,i',run2.5,24.43395044,0.231839981,13.25154235,0.233205033,0,11,43.09256363,0.025195444,FALSE
2460223.63,Oct 05 2023,r',run1.0,23.94164891,0.137305337,13.78388309,0.15099832,0,17,17.28025818,0.062831022,FALSE
2460223.632,Oct 05 2023,r',run1.1,23.65781899,0.152717018,13.73415991,0.171113348,0,16,14.06694984,0.077183485,FALSE
2460223.635,Oct 05 2023,r',run1.2,23.35381682,0.09219641,13.8305275,0.144225082,0,9,9.789476395,0.110908501,FALSE
2460223.637,Oct 05 2023,r',run1.3,22.78585777,0.779578024,13.77961338,0.799326917,0,10,6.148581505,0.176583201,FALSE
2460223.64,Oct 05 2023,r',run1.4,22.4615401,0.128390289,13.62961483,0.243987099,0,8,5.233108521,0.207474425,FALSE
2460223.642,Oct 05 2023,r',run1.5,22.25852689,0.306812502,13.57725431,0.386604321,0,8,4.615810394,0.235221148,FALSE
2460223.701,Oct 05 2023,r',run2.0,23.46224791,0.103857275,13.79518124,0.142609543,0,21,11.10955143,0.097729973,FALSE
2460223.704,Oct 05 2023,r',run2.1,23.27295327,0.117112318,13.7920008,0.164803936,0,19,9.36360836,0.11595276,FALSE
2460223.706,Oct 05 2023,r',run2.2,23.11969901,0.138012932,13.71129663,0.185356057,0,21,8.774991035,0.123730749,FALSE
2460223.709,Oct 05 2023,r',run2.3,22.89469151,0.182101742,13.74220116,0.239455451,0,19,6.982570171,0.155492336,FALSE
2460223.711,Oct 05 2023,r',run2.4,22.53316301,0.234147853,13.74156164,0.317288578,0,15,5.070720673,0.214118719,FALSE
2460223.715,Oct 05 2023,r',run2.5,25.37846162,0.064654579,13.7576481,0.06681602,0,24,64.40777588,0.016857224,FALSE
2460226.604,Oct 08 2023,g',run1.0,25.05324545,0.673946729,14.0833698,0.675288732,0,2,25.51547813,0.042552065,FALSE
2460226.606,Oct 08 2023,g',run1.1,25.65965451,0,14.69098339,0.042612492,0,1,25.47929382,0.042612493,FALSE
